x,z
-4.579239999999999782e+02,-4.018139999999999645e+02
-4.579239999999999782e+02,-3.968139999999999645e+02
-4.579239999999999782e+02,-3.918139999999999645e+02
-4.579239999999999782e+02,-3.868139999999999645e+02
-4.579239999999999782e+02,-3.818139999999999645e+02
-4.579239999999999782e+02,-3.768139999999999645e+02
-4.579239999999999782e+02,-3.718139999999999645e+02
-4.579239999999999782e+02,-3.668139999999999645e+02
-4.579239999999999782e+02,-3.618139999999999645e+02
-4.579239999999999782e+02,-3.568139999999999645e+02
-4.579239999999999782e+02,-3.518139999999999645e+02
-4.579239999999999782e+02,-3.468139999999999645e+02
-4.579239999999999782e+02,-3.418139999999999645e+02
-4.529239999999999782e+02,-5.268139999999999645e+02
-4.529239999999999782e+02,-5.218139999999999645e+02
-4.529239999999999782e+02,-5.168139999999999645e+02
-4.529239999999999782e+02,-5.118139999999999645e+02
-4.529239999999999782e+02,-5.068139999999999645e+02
-4.529239999999999782e+02,-5.018139999999999645e+02
-4.529239999999999782e+02,-4.968139999999999645e+02
-4.529239999999999782e+02,-4.918139999999999645e+02
-4.529239999999999782e+02,-4.868139999999999645e+02
-4.529239999999999782e+02,-4.818139999999999645e+02
-4.529239999999999782e+02,-4.768139999999999645e+02
-4.529239999999999782e+02,-4.718139999999999645e+02
-4.529239999999999782e+02,-4.668139999999999645e+02
-4.529239999999999782e+02,-4.618139999999999645e+02
-4.529239999999999782e+02,-4.568139999999999645e+02
-4.529239999999999782e+02,-4.518139999999999645e+02
-4.529239999999999782e+02,-4.468139999999999645e+02
-4.529239999999999782e+02,-4.418139999999999645e+02
-4.529239999999999782e+02,-4.368139999999999645e+02
-4.529239999999999782e+02,-4.318139999999999645e+02
-4.529239999999999782e+02,-4.268139999999999645e+02
-4.529239999999999782e+02,-4.218139999999999645e+02
-4.529239999999999782e+02,-4.168139999999999645e+02
-4.529239999999999782e+02,-4.118139999999999645e+02
-4.529239999999999782e+02,-4.068139999999999645e+02
-4.529239999999999782e+02,-4.018139999999999645e+02
-4.529239999999999782e+02,-3.968139999999999645e+02
-4.529239999999999782e+02,-3.918139999999999645e+02
-4.529239999999999782e+02,-3.868139999999999645e+02
-4.529239999999999782e+02,-3.818139999999999645e+02
-4.529239999999999782e+02,-3.768139999999999645e+02
-4.529239999999999782e+02,-3.718139999999999645e+02
-4.529239999999999782e+02,-3.668139999999999645e+02
-4.529239999999999782e+02,-3.618139999999999645e+02
-4.529239999999999782e+02,-3.568139999999999645e+02
-4.529239999999999782e+02,-3.518139999999999645e+02
-4.529239999999999782e+02,-3.468139999999999645e+02
-4.529239999999999782e+02,-3.418139999999999645e+02
-4.529239999999999782e+02,-3.368139999999999645e+02
-4.479239999999999782e+02,-5.318139999999999645e+02
-4.479239999999999782e+02,-5.268139999999999645e+02
-4.479239999999999782e+02,-5.218139999999999645e+02
-4.479239999999999782e+02,-5.168139999999999645e+02
-4.479239999999999782e+02,-5.118139999999999645e+02
-4.479239999999999782e+02,-5.068139999999999645e+02
-4.479239999999999782e+02,-5.018139999999999645e+02
-4.479239999999999782e+02,-4.968139999999999645e+02
-4.479239999999999782e+02,-4.918139999999999645e+02
-4.479239999999999782e+02,-4.868139999999999645e+02
-4.479239999999999782e+02,-4.818139999999999645e+02
-4.479239999999999782e+02,-4.768139999999999645e+02
-4.479239999999999782e+02,-4.718139999999999645e+02
-4.479239999999999782e+02,-4.668139999999999645e+02
-4.479239999999999782e+02,-4.618139999999999645e+02
-4.479239999999999782e+02,-4.568139999999999645e+02
-4.479239999999999782e+02,-4.518139999999999645e+02
-4.479239999999999782e+02,-4.468139999999999645e+02
-4.479239999999999782e+02,-4.418139999999999645e+02
-4.479239999999999782e+02,-4.368139999999999645e+02
-4.479239999999999782e+02,-4.318139999999999645e+02
-4.479239999999999782e+02,-4.268139999999999645e+02
-4.479239999999999782e+02,-4.218139999999999645e+02
-4.479239999999999782e+02,-4.168139999999999645e+02
-4.479239999999999782e+02,-4.118139999999999645e+02
-4.479239999999999782e+02,-4.068139999999999645e+02
-4.479239999999999782e+02,-4.018139999999999645e+02
-4.479239999999999782e+02,-3.968139999999999645e+02
-4.479239999999999782e+02,-3.918139999999999645e+02
-4.479239999999999782e+02,-3.868139999999999645e+02
-4.479239999999999782e+02,-3.818139999999999645e+02
-4.479239999999999782e+02,-3.768139999999999645e+02
-4.479239999999999782e+02,-3.718139999999999645e+02
-4.479239999999999782e+02,-3.668139999999999645e+02
-4.479239999999999782e+02,-3.618139999999999645e+02
-4.479239999999999782e+02,-3.568139999999999645e+02
-4.479239999999999782e+02,-3.518139999999999645e+02
-4.479239999999999782e+02,-3.468139999999999645e+02
-4.479239999999999782e+02,-3.418139999999999645e+02
-4.479239999999999782e+02,-3.368139999999999645e+02
-4.479239999999999782e+02,-3.318139999999999645e+02
-4.479239999999999782e+02,-3.268139999999999645e+02
-4.429239999999999782e+02,-5.368139999999999645e+02
-4.429239999999999782e+02,-5.318139999999999645e+02
-4.429239999999999782e+02,-5.268139999999999645e+02
-4.429239999999999782e+02,-5.218139999999999645e+02
-4.429239999999999782e+02,-5.168139999999999645e+02
-4.429239999999999782e+02,-5.118139999999999645e+02
-4.429239999999999782e+02,-5.068139999999999645e+02
-4.429239999999999782e+02,-5.018139999999999645e+02
-4.429239999999999782e+02,-4.968139999999999645e+02
-4.429239999999999782e+02,-4.918139999999999645e+02
-4.429239999999999782e+02,-4.868139999999999645e+02
-4.429239999999999782e+02,-4.818139999999999645e+02
-4.429239999999999782e+02,-4.768139999999999645e+02
-4.429239999999999782e+02,-4.718139999999999645e+02
-4.429239999999999782e+02,-4.668139999999999645e+02
-4.429239999999999782e+02,-4.618139999999999645e+02
-4.429239999999999782e+02,-4.018139999999999645e+02
-4.429239999999999782e+02,-3.968139999999999645e+02
-4.429239999999999782e+02,-3.918139999999999645e+02
-4.429239999999999782e+02,-3.868139999999999645e+02
-4.429239999999999782e+02,-3.818139999999999645e+02
-4.429239999999999782e+02,-3.768139999999999645e+02
-4.429239999999999782e+02,-3.718139999999999645e+02
-4.429239999999999782e+02,-3.668139999999999645e+02
-4.429239999999999782e+02,-3.618139999999999645e+02
-4.429239999999999782e+02,-3.568139999999999645e+02
-4.429239999999999782e+02,-3.518139999999999645e+02
-4.429239999999999782e+02,-3.468139999999999645e+02
-4.429239999999999782e+02,-3.418139999999999645e+02
-4.429239999999999782e+02,-3.368139999999999645e+02
-4.429239999999999782e+02,-3.318139999999999645e+02
-4.429239999999999782e+02,-3.268139999999999645e+02
-4.429239999999999782e+02,-3.218139999999999645e+02
-4.379239999999999782e+02,-5.418139999999999645e+02
-4.379239999999999782e+02,-5.368139999999999645e+02
-4.379239999999999782e+02,-5.318139999999999645e+02
-4.379239999999999782e+02,-5.268139999999999645e+02
-4.379239999999999782e+02,-5.218139999999999645e+02
-4.379239999999999782e+02,-5.168139999999999645e+02
-4.379239999999999782e+02,-5.118139999999999645e+02
-4.379239999999999782e+02,-5.068139999999999645e+02
-4.379239999999999782e+02,-5.018139999999999645e+02
-4.379239999999999782e+02,-4.968139999999999645e+02
-4.379239999999999782e+02,-4.918139999999999645e+02
-4.379239999999999782e+02,-4.868139999999999645e+02
-4.379239999999999782e+02,-4.818139999999999645e+02
-4.379239999999999782e+02,-4.768139999999999645e+02
-4.379239999999999782e+02,-3.868139999999999645e+02
-4.379239999999999782e+02,-3.818139999999999645e+02
-4.379239999999999782e+02,-3.768139999999999645e+02
-4.379239999999999782e+02,-3.718139999999999645e+02
-4.379239999999999782e+02,-3.668139999999999645e+02
-4.379239999999999782e+02,-3.618139999999999645e+02
-4.379239999999999782e+02,-3.568139999999999645e+02
-4.379239999999999782e+02,-3.518139999999999645e+02
-4.379239999999999782e+02,-3.468139999999999645e+02
-4.379239999999999782e+02,-3.418139999999999645e+02
-4.379239999999999782e+02,-3.368139999999999645e+02
-4.379239999999999782e+02,-3.318139999999999645e+02
-4.379239999999999782e+02,-3.268139999999999645e+02
-4.379239999999999782e+02,-3.218139999999999645e+02
-4.379239999999999782e+02,-3.168139999999999645e+02
-4.379239999999999782e+02,-3.118139999999999645e+02
-4.329239999999999782e+02,-5.468139999999999645e+02
-4.329239999999999782e+02,-5.418139999999999645e+02
-4.329239999999999782e+02,-5.368139999999999645e+02
-4.329239999999999782e+02,-5.318139999999999645e+02
-4.329239999999999782e+02,-5.268139999999999645e+02
-4.329239999999999782e+02,-5.218139999999999645e+02
-4.329239999999999782e+02,-5.168139999999999645e+02
-4.329239999999999782e+02,-5.118139999999999645e+02
-4.329239999999999782e+02,-5.068139999999999645e+02
-4.329239999999999782e+02,-5.018139999999999645e+02
-4.329239999999999782e+02,-4.968139999999999645e+02
-4.329239999999999782e+02,-4.918139999999999645e+02
-4.329239999999999782e+02,-4.868139999999999645e+02
-4.329239999999999782e+02,-3.768139999999999645e+02
-4.329239999999999782e+02,-3.718139999999999645e+02
-4.329239999999999782e+02,-3.668139999999999645e+02
-4.329239999999999782e+02,-3.618139999999999645e+02
-4.329239999999999782e+02,-3.568139999999999645e+02
-4.329239999999999782e+02,-3.518139999999999645e+02
-4.329239999999999782e+02,-3.468139999999999645e+02
-4.329239999999999782e+02,-3.418139999999999645e+02
-4.329239999999999782e+02,-3.368139999999999645e+02
-4.329239999999999782e+02,-3.318139999999999645e+02
-4.329239999999999782e+02,-3.268139999999999645e+02
